D20 — measuring D(pi_you || pi_pop) on humans

  corpus     138188 games from 5 files
  skipped    {"missing player name": 3, "too short": 157}
  players    349 with >=200 games; measuring top 150
  pi_pop     317748 decisions
             trained in 2s

  player                      games    test     D_raw    D_true    lambda
  Mamedyarov, Shakhriyar        400    3357    0.0087    0.0144      3e-3
  Caruana Fabiano (ITA)         400    3826    0.0006    0.0010      1e-1
  Ter Sahakyan,S                400    3655   -0.0040   -0.0066      3e-2
  Dreev,A                       400    3643    0.0485    0.0809      3e-3
  Robson,R                      400    3636    0.0001    0.0002      1e-2
  Hakobyan,Aram                 400    3621   -0.0017   -0.0028      1e-2
  Andersson, Ulf                400    2826    0.0546    0.0910      3e-3
  Vitiugov,N                    400    3593   -0.0018   -0.0030      1e-2
  Shirov,A                      400    3524    0.0144    0.0240      3e-3
  Ponomariov Ruslan (UKR)       400    3467    0.0000    0.0000      none
  Giri Anish (NED)              400    3918   -0.0017   -0.0029      1e-2
  Caruana, Fabiano              400    3877    0.0001    0.0001      1e-2
  Nepomniachtchi Ian (RUS)      400    3780    0.0064    0.0106      1e-2

  players measured   150
  D_raw    mean 0.0079   median 0.0058   min -0.0057   max 0.0546 nats/move
  D_true   0.0132 nats/move   (recovery-corrected point estimate)
           [0.0081, 0.0343]   (calibration recovery interval)
  identification     73/150 = 48.7%   (chance 0.7%)

  ================================================
  VERDICT: AMBER
  ================================================
  Cuts are on true D: holds >= 0.020, dead < 0.005 (spec/09 D20).
  NOTE: the recovery interval spans a threshold — this verdict
  depends on where in the calibrated range these players sit.
